,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
169,Muzaffarpursakramajhauliyawbd,872,13080.0,10510.0,141.0,15830.0,115
170,Muzaffarpursakramajhauliyawbe,20,10590.0,0.0,0.0,0.0,106
171,Muzaffarpursakramajhauliyawbf,546,21650.0,9800.0,158.0,10930.0,137
172,Muzaffarpursakramarwanurfajijnagarwae,98,2940.0,0.0,0.0,0.0,98
173,Muzaffarpursakramishrauliyawab,114,3420.0,0.0,0.0,0.0,114
174,Muzaffarpursakramishrauliyawaf,109,3270.0,0.0,0.0,0.0,109
175,Muzaffarpursakramishrauliyawah,98,2940.0,0.0,0.0,0.0,98
176,Muzaffarpursakramishrauliyawbe,167,5010.0,0.0,0.0,0.0,167
177,Muzaffarpursakramishrauliyawbf,153,4590.0,0.0,0.0,0.0,153
178,Muzaffarpursakramishrauliyawbg,110,3300.0,0.0,0.0,0.0,110
179,Muzaffarpursakramishrauliyawbh,188,5640.0,1440.0,48.0,1440.0,94
180,Muzaffarpursakraraghunathpurdonmawab,113,3390.0,120.0,4.0,120.0,113
181,Muzaffarpursakrarajapakarwae,52,1560.0,0.0,0.0,0.0,52
182,Muzaffarpursakrarajapakarwbb,129,3870.0,0.0,0.0,0.0,129
183,Muzaffarpursakrarajapakarwbd,74,2220.0,0.0,0.0,0.0,74
184,Muzaffarpursakrarampurkrishnawac,152,4560.0,60.0,2.0,60.0,76
185,Muzaffarpursakrarampurmaniwbb,168,5040.0,0.0,0.0,0.0,84
186,Muzaffarpursakrasakrawajidwbb,120,3600.0,0.0,0.0,0.0,120
187,Muzaffarpursakrasakrawajidwbc,240,7200.0,30.0,1.0,30.0,120
188,Muzaffarpursakrasarmastpurwae,246,7380.0,960.0,31.0,960.0,123
189,Muzaffarpursakrasarmastpurwaj,110,3300.0,0.0,0.0,0.0,110
190,Muzaffarpursakrasirajabadwad,85,2550.0,0.0,0.0,0.0,85
