,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,416,12480.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,244,7320.0,1050.0,23.0,1050.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabandrawbf,92,2760.0,0.0,0.0,0.0,92
5,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
6,Muzaffarpurbandrabargaowac,274,8220.0,0.0,0.0,0.0,137
7,Muzaffarpurbandrabargaowad,382,11460.0,120.0,4.0,120.0,191
8,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
9,Muzaffarpurbandrabargaowaf,388,11640.0,0.0,0.0,0.0,97
10,Muzaffarpurbandrabargaowag,258,7740.0,0.0,0.0,0.0,129
11,Muzaffarpurbandrabargaowah,376,11280.0,60.0,1.0,60.0,94
12,Muzaffarpurbandrabargaowai,1035,31050.0,6180.0,91.0,6180.0,259
13,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
14,Muzaffarpurbandrabargaowbb,517,15540.0,180.0,3.0,180.0,131
15,Muzaffarpurbandrabargaowbc,288,9510.0,1410.0,21.0,1560.0,91
16,Muzaffarpurbandrabargaowbd,336,10080.0,1410.0,14.0,1410.0,84
17,Muzaffarpurbandrabargaowbe,392,11760.0,30.0,1.0,30.0,196
18,Muzaffarpurbandrahatthawab,54,1620.0,0.0,0.0,0.0,54
19,Muzaffarpurbandrahatthawac,71,2130.0,0.0,0.0,0.0,71
20,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
21,Muzaffarpurbandrahatthawaf,381,11430.0,0.0,0.0,0.0,127
22,Muzaffarpurbandrahatthawah,117,3510.0,0.0,0.0,0.0,116
23,Muzaffarpurbandrahatthawai,312,9360.0,0.0,0.0,0.0,104
24,Muzaffarpurbandrahatthawaj,519,15570.0,0.0,0.0,0.0,173
25,Muzaffarpurbandrahatthawbc,69,2070.0,0.0,0.0,0.0,69
26,Muzaffarpurbandrahatthawbe,70,2100.0,0.0,0.0,0.0,70
