,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,104,3120.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,183,5490.0,930.0,20.0,930.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
5,Muzaffarpurbandrabargaowad,191,5730.0,120.0,4.0,120.0,191
6,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
7,Muzaffarpurbandrabargaowaf,194,5820.0,0.0,0.0,0.0,97
8,Muzaffarpurbandrabargaowag,129,3870.0,0.0,0.0,0.0,129
9,Muzaffarpurbandrabargaowah,188,5640.0,60.0,1.0,60.0,94
10,Muzaffarpurbandrabargaowai,776,23280.0,3990.0,63.0,3990.0,259
11,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
12,Muzaffarpurbandrabargaowbb,388,11670.0,180.0,3.0,180.0,131
13,Muzaffarpurbandrabargaowbc,216,7320.0,720.0,12.0,720.0,88
14,Muzaffarpurbandrabargaowbd,252,7560.0,30.0,1.0,30.0,84
15,Muzaffarpurbandrabargaowbe,196,5880.0,30.0,1.0,30.0,196
16,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
17,Muzaffarpurbandrahatthawai,312,9360.0,0.0,0.0,0.0,104
18,Muzaffarpurbandramunnibangriwab,208,6240.0,30.0,1.0,30.0,104
19,Muzaffarpurbandramunnibangriwac,250,7500.0,0.0,0.0,0.0,125
20,Muzaffarpurbandramunnibangriwad,128,3840.0,0.0,0.0,0.0,64
21,Muzaffarpurbandramunnibangriwae,121,3630.0,30.0,1.0,30.0,121
22,Muzaffarpurbandramunnibangriwaf,108,3240.0,1830.0,61.0,1830.0,108
23,Muzaffarpurbandramunnibangriwag,69,2070.0,0.0,0.0,0.0,69
24,Muzaffarpurbandramunnibangriwah,344,10320.0,0.0,0.0,0.0,172
25,Muzaffarpurbandramunnibangriwai,93,2790.0,0.0,0.0,0.0,93
26,Muzaffarpurbandramunnibangriwaj,78,2340.0,0.0,0.0,0.0,78
27,Muzaffarpurbandramunnibangriwba,157,4710.0,0.0,0.0,0.0,157
28,Muzaffarpurbandramunnibangriwbb,288,8640.0,0.0,0.0,0.0,144
29,Muzaffarpurbandramunnibangriwbc,94,2820.0,30.0,1.0,30.0,94
30,Muzaffarpurbandramunnibangriwbd,127,3810.0,0.0,0.0,0.0,129
31,Muzaffarpurbandranunfarawab,483,14490.0,510.0,9.0,510.0,161
32,Muzaffarpurbandranunfarawac,501,15030.0,180.0,3.0,180.0,167
33,Muzaffarpurbandranunfarawad,435,13050.0,4060.0,66.0,4060.0,145
34,Muzaffarpurbandranunfarawae,258,7740.0,0.0,0.0,0.0,86
35,Muzaffarpurbandranunfarawaf,252,7560.0,0.0,0.0,0.0,126
36,Muzaffarpurbandranunfarawah,330,9900.0,30.0,1.0,30.0,165
37,Muzaffarpurbandranunfarawai,360,10800.0,0.0,0.0,0.0,120
38,Muzaffarpurbandranunfarawaj,162,4860.0,0.0,0.0,0.0,81
39,Muzaffarpurbandranunfarawba,328,9840.0,0.0,0.0,0.0,164
40,Muzaffarpurbandranunfarawbb,206,6180.0,0.0,0.0,0.0,103
41,Muzaffarpurbandranunfarawbc,258,7740.0,0.0,0.0,0.0,129
42,Muzaffarpurbandrapatsarawab,98,2940.0,0.0,0.0,0.0,98
43,Muzaffarpurbandrapatsarawac,30,900.0,0.0,0.0,0.0,30
44,Muzaffarpurbandrapatsarawaf,294,8820.0,0.0,0.0,0.0,98
45,Muzaffarpurbandrapatsarawag,376,11400.0,2970.0,45.0,3290.0,130
46,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
47,Muzaffarpurbandrapatsarawai,699,20970.0,110.0,3.0,110.0,233
48,Muzaffarpurbandrapatsarawaj,192,5760.0,0.0,0.0,0.0,96
49,Muzaffarpurbandrapatsarawba,168,5040.0,660.0,11.0,660.0,84
50,Muzaffarpurbandrapatsarawbb,56,1680.0,61.0,3.0,61.0,57
51,Muzaffarpurbandrapatsarawbc,216,6480.0,30.0,1.0,30.0,216
52,Muzaffarpurbandrapatsarawbd,108,3240.0,0.0,0.0,0.0,108
53,Muzaffarpurbandrapirapurwac,352,10560.0,90.0,2.0,90.0,88
54,Muzaffarpurbandrapirapurwad,351,10530.0,30.0,1.0,30.0,117
55,Muzaffarpurbandrapirapurwae,518,16170.0,450.0,3.0,450.0,106
56,Muzaffarpurbandrapirapurwag,576,17280.0,60.0,1.0,60.0,144
57,Muzaffarpurbandrapirapurwah,880,26400.0,4580.0,48.0,4580.0,176
58,Muzaffarpurbandrapirapurwai,780,23490.0,11040.0,214.0,11040.0,157
59,Muzaffarpurbandrapirapurwaj,1010,30300.0,120.0,1.0,120.0,202
