,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,104,3120.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,183,5490.0,930.0,20.0,930.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
5,Muzaffarpurbandrabargaowac,137,4110.0,0.0,0.0,0.0,137
6,Muzaffarpurbandrabargaowad,191,5730.0,120.0,4.0,120.0,191
7,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
8,Muzaffarpurbandrabargaowaf,194,5820.0,0.0,0.0,0.0,97
9,Muzaffarpurbandrabargaowag,129,3870.0,0.0,0.0,0.0,129
10,Muzaffarpurbandrabargaowah,188,5640.0,60.0,1.0,60.0,94
11,Muzaffarpurbandrabargaowai,776,23280.0,5100.0,77.0,5100.0,259
12,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
13,Muzaffarpurbandrabargaowbb,388,11670.0,180.0,3.0,180.0,131
14,Muzaffarpurbandrabargaowbc,216,7320.0,900.0,14.0,900.0,88
15,Muzaffarpurbandrabargaowbd,252,7560.0,30.0,1.0,30.0,84
16,Muzaffarpurbandrabargaowbe,196,5880.0,30.0,1.0,30.0,196
17,Muzaffarpurbandrahatthawab,54,1620.0,0.0,0.0,0.0,54
18,Muzaffarpurbandrahatthawac,71,2130.0,0.0,0.0,0.0,71
19,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
20,Muzaffarpurbandrahatthawah,117,3510.0,0.0,0.0,0.0,116
21,Muzaffarpurbandrahatthawai,312,9360.0,0.0,0.0,0.0,104
22,Muzaffarpurbandrahatthawaj,519,15570.0,0.0,0.0,0.0,173
23,Muzaffarpurbandrahatthawbc,69,2070.0,0.0,0.0,0.0,69
24,Muzaffarpurbandrahatthawbe,70,2100.0,0.0,0.0,0.0,70
25,Muzaffarpurbandrahatthawbf,70,2100.0,0.0,0.0,0.0,70
26,Muzaffarpurbandramunnibangriwab,208,6240.0,30.0,1.0,30.0,104
27,Muzaffarpurbandramunnibangriwac,250,7500.0,0.0,0.0,0.0,125
28,Muzaffarpurbandramunnibangriwad,128,3840.0,0.0,0.0,0.0,64
29,Muzaffarpurbandramunnibangriwae,121,3630.0,30.0,1.0,30.0,121
30,Muzaffarpurbandramunnibangriwaf,108,3240.0,1830.0,61.0,1830.0,108
31,Muzaffarpurbandramunnibangriwag,69,2070.0,0.0,0.0,0.0,69
32,Muzaffarpurbandramunnibangriwah,344,10320.0,0.0,0.0,0.0,172
33,Muzaffarpurbandramunnibangriwai,93,2790.0,0.0,0.0,0.0,93
34,Muzaffarpurbandramunnibangriwaj,78,2340.0,0.0,0.0,0.0,78
35,Muzaffarpurbandramunnibangriwba,157,4710.0,0.0,0.0,0.0,157
36,Muzaffarpurbandramunnibangriwbb,288,8640.0,0.0,0.0,0.0,144
37,Muzaffarpurbandramunnibangriwbc,94,2820.0,30.0,1.0,30.0,94
38,Muzaffarpurbandramunnibangriwbd,127,3810.0,0.0,0.0,0.0,129
39,Muzaffarpurbandranunfarawab,483,14490.0,510.0,9.0,510.0,161
40,Muzaffarpurbandranunfarawac,504,15300.0,1890.0,23.0,1890.0,170
41,Muzaffarpurbandranunfarawad,435,13050.0,4060.0,66.0,4060.0,145
42,Muzaffarpurbandranunfarawae,258,7740.0,0.0,0.0,0.0,86
43,Muzaffarpurbandranunfarawaf,252,7560.0,0.0,0.0,0.0,126
44,Muzaffarpurbandranunfarawah,330,9900.0,30.0,1.0,30.0,165
45,Muzaffarpurbandranunfarawai,360,10800.0,0.0,0.0,0.0,120
46,Muzaffarpurbandranunfarawaj,162,4860.0,0.0,0.0,0.0,81
47,Muzaffarpurbandranunfarawba,328,9840.0,0.0,0.0,0.0,164
48,Muzaffarpurbandranunfarawbb,206,6180.0,0.0,0.0,0.0,103
49,Muzaffarpurbandranunfarawbc,258,7740.0,0.0,0.0,0.0,129
50,Muzaffarpurbandrapatsarawab,98,2940.0,0.0,0.0,0.0,98
51,Muzaffarpurbandrapatsarawac,30,900.0,0.0,0.0,0.0,30
52,Muzaffarpurbandrapatsarawad,150,4500.0,0.0,0.0,0.0,150
53,Muzaffarpurbandrapatsarawaf,294,8820.0,0.0,0.0,0.0,98
54,Muzaffarpurbandrapatsarawag,376,11400.0,3090.0,47.0,3410.0,130
55,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
56,Muzaffarpurbandrapatsarawai,699,20970.0,110.0,3.0,110.0,233
57,Muzaffarpurbandrapatsarawaj,192,5760.0,0.0,0.0,0.0,96
58,Muzaffarpurbandrapatsarawba,168,5040.0,660.0,11.0,660.0,84
59,Muzaffarpurbandrapatsarawbb,56,1680.0,61.0,3.0,61.0,57
