,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
181,Muzaffarpurmoraulvidhyajhanpwai,640,19200.0,15900.0,269.0,15900.0,128
182,Muzaffarpursakrabajibuzurgwac,175,5250.0,540.0,18.0,540.0,173
183,Muzaffarpursakrabajibuzurgwad,220,6600.0,1410.0,47.0,1410.0,110
184,Muzaffarpursakrabajibuzurgwaf,116,3480.0,0.0,0.0,0.0,116
185,Muzaffarpursakrabajibuzurgwah,66,1980.0,0.0,0.0,0.0,113
186,Muzaffarpursakrabajibuzurgwai,260,7800.0,0.0,0.0,0.0,130
187,Muzaffarpursakrabajibuzurgwaj,302,9060.0,0.0,0.0,0.0,151
188,Muzaffarpursakrabajibuzurgwba,74,2160.0,270.0,9.0,330.0,74
189,Muzaffarpursakrabajibuzurgwbc,238,7140.0,60.0,2.0,60.0,119
190,Muzaffarpursakrabajibuzurgwbd,236,7080.0,1230.0,41.0,1230.0,118
191,Muzaffarpursakrabajibuzurgwbe,286,8580.0,0.0,0.0,0.0,143
192,Muzaffarpursakrabajibuzurgwbf,220,6600.0,60.0,1.0,60.0,110
193,Muzaffarpursakraberuadihwac,97,2910.0,0.0,0.0,0.0,97
194,Muzaffarpursakraberuadihwbc,68,2040.0,0.0,0.0,0.0,69
195,Muzaffarpursakraberuadihwbd,202,6060.0,0.0,0.0,0.0,101
196,Muzaffarpursakraberuadihwbf,144,4320.0,0.0,0.0,0.0,72
197,Muzaffarpursakrabhartipurwab,456,13680.0,270.0,3.0,270.0,152
198,Muzaffarpursakrabhartipurwad,380,13780.0,3210.0,63.0,3730.0,181
199,Muzaffarpursakrabhartipurwae,178,5340.0,60.0,2.0,60.0,178
200,Muzaffarpursakrabhartipurwaf,318,9540.0,270.0,9.0,270.0,159
201,Muzaffarpursakrabhartipurwag,298,8940.0,60.0,1.0,60.0,149
202,Muzaffarpursakrabhartipurwah,948,28440.0,2910.0,31.0,2910.0,237
203,Muzaffarpursakrabhartipurwai,184,5510.0,1860.0,60.0,1870.0,181
204,Muzaffarpursakrabhartipurwaj,620,18600.0,390.0,5.0,390.0,155
205,Muzaffarpursakrabhartipurwba,114,3420.0,1530.0,17.0,1530.0,38
206,Muzaffarpursakrachandanpattiwab,411,12330.0,7260.0,122.0,7260.0,137
207,Muzaffarpursakrachandanpattiwae,91,2730.0,0.0,0.0,0.0,92
208,Muzaffarpursakrachandanpattiwag,730,21840.0,10220.0,220.0,10730.0,152
209,Muzaffarpursakrachandanpattiwah,437,13230.0,6990.0,187.0,6990.0,147
210,Muzaffarpursakrachandanpattiwai,580,17400.0,7080.0,203.0,7080.0,116
211,Muzaffarpursakrachandanpattiwaj,522,15360.0,7410.0,161.0,7860.0,174
212,Muzaffarpursakrachandanpattiwba,262,7860.0,3360.0,96.0,3360.0,131
213,Muzaffarpursakrachandanpattiwbb,750,22500.0,17370.0,450.0,17370.0,150
214,Muzaffarpursakrachandanpattiwbc,300,9000.0,7320.0,224.0,7320.0,75
215,Muzaffarpursakrachandanpattiwbd,112,3360.0,0.0,0.0,0.0,113
216,Muzaffarpursakradihuliishakwad,106,3180.0,840.0,28.0,840.0,107
217,Muzaffarpursakradihuliishakwae,364,10920.0,0.0,0.0,0.0,182
218,Muzaffarpursakradihuliishakwag,99,2970.0,0.0,0.0,0.0,99
219,Muzaffarpursakradihuliishakwah,152,4560.0,0.0,0.0,0.0,152
220,Muzaffarpursakradihuliishakwaj,35,1050.0,0.0,0.0,0.0,35
221,Muzaffarpursakradihuliishakwba,81,2430.0,0.0,0.0,0.0,81
222,Muzaffarpursakradihuliishakwbc,88,2640.0,0.0,0.0,0.0,88
223,Muzaffarpursakradihuliishakwbd,330,9900.0,660.0,11.0,660.0,110
224,Muzaffarpursakradubhabuzurgwaj,469,13890.0,6017.0,125.0,6017.0,118
225,Muzaffarpursakragannipurbejhawac,96,2880.0,0.0,0.0,0.0,96
226,Muzaffarpursakragannipurbejhawad,87,2610.0,0.0,0.0,0.0,87
227,Muzaffarpursakragannipurbejhawag,435,13050.0,3240.0,83.0,3240.0,145
228,Muzaffarpursakragannipurbejhawah,456,13680.0,90.0,2.0,90.0,152
229,Muzaffarpursakragannipurbejhawaj,306,9180.0,60.0,2.0,60.0,153
230,Muzaffarpursakragannipurbejhawbb,376,11280.0,2010.0,67.0,2010.0,188
231,Muzaffarpursakragauriharkhaliknagarwac,111,3330.0,0.0,0.0,0.0,111
232,Muzaffarpursakragauriharkhaliknagarwaf,240,7200.0,0.0,0.0,0.0,120
233,Muzaffarpursakragauriharkhaliknagarwag,98,2940.0,0.0,0.0,0.0,98
234,Muzaffarpursakragauriharkhaliknagarwah,82,2460.0,0.0,0.0,0.0,82
235,Muzaffarpursakragauriharkhaliknagarwbc,320,9600.0,0.0,0.0,0.0,160
236,Muzaffarpursakraharlochanpurwab,191,5730.0,0.0,0.0,0.0,191
237,Muzaffarpursakraharlochanpurwad,83,2490.0,0.0,0.0,0.0,83
238,Muzaffarpursakraharlochanpurwae,112,3360.0,0.0,0.0,0.0,112
239,Muzaffarpursakraharlochanpurwah,120,3600.0,0.0,0.0,0.0,120
240,Muzaffarpursakraharlochanpurwai,74,2220.0,0.0,0.0,0.0,74
241,Muzaffarpursakraharlochanpurwbb,137,4110.0,1500.0,50.0,1500.0,137
242,Muzaffarpursakraharlochanpurwbc,378,11340.0,0.0,0.0,0.0,126
243,Muzaffarpursakraharlochanpurwbe,175,5250.0,0.0,0.0,0.0,175
244,Muzaffarpursakrajagdishpurbaghnagariwab,1246,37380.0,2910.0,30.0,2910.0,156
245,Muzaffarpursakrajagdishpurbaghnagariwac,768,23040.0,840.0,10.0,840.0,96
246,Muzaffarpursakrajagdishpurbaghnagariwad,882,26460.0,5490.0,46.0,5490.0,126
247,Muzaffarpursakrajagdishpurbaghnagariwaf,752,22530.0,7260.0,115.0,7290.0,94
248,Muzaffarpursakrajagdishpurbaghnagariwag,95,2850.0,90.0,3.0,90.0,95
249,Muzaffarpursakrajagdishpurbaghnagariwah,1137,33870.0,20290.0,210.0,21550.0,116
250,Muzaffarpursakrajagdishpurbaghnagariwai,630,18630.0,3780.0,78.0,4050.0,90
251,Muzaffarpursakrajagdishpurbaghnagariwba,106,3180.0,0.0,0.0,0.0,106
252,Muzaffarpursakrajagdishpurbaghnagariwbb,126,3780.0,0.0,0.0,0.0,126
253,Muzaffarpursakrajagdishpurbaghnagariwbc,184,5520.0,60.0,2.0,60.0,92
254,Muzaffarpursakrajagdishpurbaghnagariwbe,330,9900.0,780.0,11.0,780.0,110
255,Muzaffarpursakrakatesharwab,129,3870.0,30.0,1.0,30.0,129
256,Muzaffarpursakrakatesharwah,96,2880.0,30.0,1.0,30.0,96
257,Muzaffarpursakrakatesharwba,200,6000.0,0.0,0.0,0.0,100
258,Muzaffarpursakrakatesharwbb,101,2250.0,690.0,23.0,1470.0,101
259,Muzaffarpursakrakeshopurwad,345,10350.0,8040.0,181.0,8040.0,116
260,Muzaffarpursakrakeshopurwae,214,6420.0,30.0,1.0,30.0,107
261,Muzaffarpursakrakeshopurwai,146,4380.0,720.0,24.0,720.0,146
262,Muzaffarpursakrakeshopurwba,304,9120.0,0.0,0.0,0.0,152
263,Muzaffarpursakrakeshopurwbb,208,6130.0,3540.0,116.0,3650.0,103
264,Muzaffarpursakrakeshopurwbd,141,4230.0,0.0,0.0,0.0,142
265,Muzaffarpursakrakeshopurwbe,632,18960.0,120.0,4.0,120.0,158
266,Muzaffarpursakramachhahiwbd,573,17980.0,3570.0,102.0,3570.0,192
267,Muzaffarpursakramajhauliyawab,1147,48445.0,30299.0,541.0,30839.0,132
268,Muzaffarpursakramajhauliyawac,881,30610.0,18745.0,166.0,19300.0,111
269,Muzaffarpursakramajhauliyawad,879,39575.0,11690.0,174.0,11795.0,123
270,Muzaffarpursakramajhauliyawae,478,29340.0,11488.0,259.0,11818.0,151
271,Muzaffarpursakramajhauliyawag,352,16010.0,2400.0,36.0,2400.0,153
272,Muzaffarpursakramajhauliyawah,136,4720.0,1180.0,35.0,1180.0,127
273,Muzaffarpursakramajhauliyawai,985,33540.0,11320.0,171.0,13510.0,123
274,Muzaffarpursakramajhauliyawaj,426,24030.0,4230.0,59.0,4260.0,151
275,Muzaffarpursakramajhauliyawba,914,34370.0,13650.0,98.0,15000.0,125
276,Muzaffarpursakramajhauliyawbb,683,27040.0,19775.0,170.0,19895.0,101
277,Muzaffarpursakramajhauliyawbc,1417,78805.0,24300.0,205.0,24300.0,156
278,Muzaffarpursakramajhauliyawbd,985,8880.0,13760.0,203.0,26910.0,115
279,Muzaffarpursakramajhauliyawbe,848,35370.0,13810.0,66.0,13870.0,106
280,Muzaffarpursakramajhauliyawbf,702,26290.0,11400.0,201.0,12570.0,137
281,Muzaffarpursakramarwanurfajijnagarwab,143,4290.0,0.0,0.0,0.0,143
282,Muzaffarpursakramarwanurfajijnagarwae,196,5880.0,0.0,0.0,0.0,98
283,Muzaffarpursakramarwanurfajijnagarwag,156,4680.0,0.0,0.0,0.0,78
284,Muzaffarpursakramarwanurfajijnagarwah,1,30.0,0.0,0.0,0.0,113
285,Muzaffarpursakramarwanurfajijnagarwba,100,3000.0,0.0,0.0,0.0,100
286,Muzaffarpursakramarwanurfajijnagarwbb,178,5340.0,0.0,0.0,0.0,89
287,Muzaffarpursakramarwanurfajijnagarwbc,215,6450.0,0.0,0.0,0.0,215
288,Muzaffarpursakramarwanurfajijnagarwbe,208,6240.0,0.0,0.0,0.0,104
289,Muzaffarpursakramishrauliyawab,114,3420.0,0.0,0.0,0.0,114
290,Muzaffarpursakramishrauliyawac,96,2880.0,0.0,0.0,0.0,120
291,Muzaffarpursakramishrauliyawaf,109,3270.0,0.0,0.0,0.0,109
292,Muzaffarpursakramishrauliyawah,98,2940.0,0.0,0.0,0.0,98
293,Muzaffarpursakramishrauliyawbb,147,4410.0,0.0,0.0,0.0,147
294,Muzaffarpursakramishrauliyawbd,264,7920.0,0.0,0.0,0.0,132
295,Muzaffarpursakramishrauliyawbe,167,5010.0,0.0,0.0,0.0,167
296,Muzaffarpursakramishrauliyawbf,153,4590.0,30.0,1.0,30.0,153
297,Muzaffarpursakramishrauliyawbg,330,9900.0,180.0,3.0,180.0,110
298,Muzaffarpursakramishrauliyawbh,378,11110.0,8450.0,216.0,8740.0,96
299,Muzaffarpursakraraghunathpurdonmawab,339,10170.0,120.0,4.0,120.0,113
300,Muzaffarpursakraraghunathpurdonmawac,99,2970.0,0.0,0.0,0.0,99
301,Muzaffarpursakraraghunathpurdonmawad,240,7200.0,30.0,1.0,30.0,121
302,Muzaffarpursakraraghunathpurdonmawah,192,5760.0,60.0,2.0,60.0,96
303,Muzaffarpursakraraghunathpurdonmawbb,92,2760.0,0.0,0.0,0.0,92
304,Muzaffarpursakraraghunathpurdonmawbc,61,1830.0,0.0,0.0,0.0,61
305,Muzaffarpursakraraghunathpurdonmawbe,66,1980.0,60.0,2.0,60.0,33
306,Muzaffarpursakrarajapakarwab,140,4200.0,120.0,4.0,120.0,70
307,Muzaffarpursakrarajapakarwac,240,7200.0,0.0,0.0,0.0,120
308,Muzaffarpursakrarajapakarwae,52,1560.0,0.0,0.0,0.0,52
309,Muzaffarpursakrarajapakarwaf,105,3150.0,30.0,1.0,30.0,105
310,Muzaffarpursakrarajapakarwag,138,4140.0,0.0,0.0,0.0,138
311,Muzaffarpursakrarajapakarwah,208,6240.0,0.0,0.0,0.0,104
312,Muzaffarpursakrarajapakarwai,56,1680.0,0.0,0.0,0.0,56
313,Muzaffarpursakrarajapakarwba,74,2220.0,30.0,1.0,30.0,74
314,Muzaffarpursakrarajapakarwbb,258,7740.0,0.0,0.0,0.0,129
315,Muzaffarpursakrarajapakarwbd,148,4440.0,1920.0,64.0,1920.0,74
