,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,104,3120.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,183,5490.0,930.0,20.0,930.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
5,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
6,Muzaffarpurbandrabargaowaf,194,5820.0,0.0,0.0,0.0,97
7,Muzaffarpurbandrabargaowah,188,5640.0,60.0,1.0,60.0,94
8,Muzaffarpurbandrabargaowai,776,23280.0,2310.0,38.0,2310.0,259
9,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
10,Muzaffarpurbandrabargaowbb,259,7800.0,180.0,3.0,180.0,131
11,Muzaffarpurbandrabargaowbc,215,7260.0,480.0,9.0,480.0,87
12,Muzaffarpurbandrabargaowbd,252,7560.0,30.0,1.0,30.0,84
13,Muzaffarpurbandrabargaowbe,196,5880.0,30.0,1.0,30.0,196
14,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
15,Muzaffarpurbandramunnibangriwab,208,6240.0,30.0,1.0,30.0,104
16,Muzaffarpurbandramunnibangriwac,250,7500.0,0.0,0.0,0.0,125
17,Muzaffarpurbandramunnibangriwad,128,3840.0,0.0,0.0,0.0,64
18,Muzaffarpurbandramunnibangriwae,121,3630.0,30.0,1.0,30.0,121
19,Muzaffarpurbandramunnibangriwaf,108,3240.0,0.0,0.0,0.0,108
20,Muzaffarpurbandramunnibangriwaj,78,2340.0,0.0,0.0,0.0,78
21,Muzaffarpurbandramunnibangriwba,157,4710.0,0.0,0.0,0.0,157
22,Muzaffarpurbandramunnibangriwbb,288,8640.0,0.0,0.0,0.0,144
23,Muzaffarpurbandramunnibangriwbc,94,2820.0,30.0,1.0,30.0,94
24,Muzaffarpurbandramunnibangriwbd,127,3810.0,0.0,0.0,0.0,129
25,Muzaffarpurbandranunfarawab,483,14490.0,510.0,9.0,510.0,161
26,Muzaffarpurbandranunfarawac,501,15030.0,180.0,3.0,180.0,167
27,Muzaffarpurbandranunfarawad,435,13050.0,1800.0,30.0,1800.0,145
28,Muzaffarpurbandranunfarawae,258,7740.0,0.0,0.0,0.0,86
29,Muzaffarpurbandranunfarawaf,252,7560.0,0.0,0.0,0.0,126
30,Muzaffarpurbandranunfarawah,330,9900.0,30.0,1.0,30.0,165
31,Muzaffarpurbandranunfarawai,360,10800.0,0.0,0.0,0.0,120
32,Muzaffarpurbandranunfarawaj,162,4860.0,0.0,0.0,0.0,81
33,Muzaffarpurbandranunfarawba,328,9840.0,0.0,0.0,0.0,164
34,Muzaffarpurbandranunfarawbb,206,6180.0,0.0,0.0,0.0,103
35,Muzaffarpurbandranunfarawbc,258,7740.0,0.0,0.0,0.0,129
36,Muzaffarpurbandrapatsarawag,400,12120.0,1980.0,34.0,2300.0,138
37,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
38,Muzaffarpurbandrapatsarawai,699,20970.0,110.0,3.0,110.0,233
39,Muzaffarpurbandrapatsarawaj,192,5760.0,0.0,0.0,0.0,96
40,Muzaffarpurbandrapatsarawba,168,5040.0,660.0,11.0,660.0,84
41,Muzaffarpurbandrapatsarawbb,56,1680.0,61.0,3.0,61.0,57
42,Muzaffarpurbandrapatsarawbc,216,6480.0,30.0,1.0,30.0,216
43,Muzaffarpurbandrapirapurwac,352,10560.0,90.0,2.0,90.0,88
44,Muzaffarpurbandrapirapurwad,351,10530.0,30.0,1.0,30.0,117
45,Muzaffarpurbandrapirapurwae,515,15450.0,0.0,0.0,0.0,103
46,Muzaffarpurbandrapirapurwag,576,17280.0,60.0,1.0,60.0,144
47,Muzaffarpurbandrapirapurwah,880,26400.0,2980.0,37.0,2980.0,176
48,Muzaffarpurbandrapirapurwai,828,24930.0,11040.0,214.0,11040.0,167
49,Muzaffarpurbandrapirapurwaj,1010,30300.0,120.0,1.0,120.0,202
50,Muzaffarpurbandrapirapurwba,720,20790.0,6190.0,80.0,7000.0,146
51,Muzaffarpurbandrapirapurwbb,600,18000.0,90.0,2.0,90.0,120
52,Muzaffarpurbandrapirapurwbc,710,21260.0,4020.0,71.0,4060.0,142
53,Muzaffarpurbandrapirapurwbd,488,14640.0,120.0,1.0,120.0,122
54,Muzaffarpurbandrarampurdayalwab,400,12000.0,240.0,2.0,240.0,80
55,Muzaffarpurbandrarampurdayalwac,775,23250.0,150.0,3.0,150.0,155
56,Muzaffarpurbandrarampurdayalwad,192,5760.0,0.0,0.0,0.0,48
57,Muzaffarpurbandrarampurdayalwae,370,11100.0,0.0,0.0,0.0,74
58,Muzaffarpurbandrarampurdayalwaf,636,19080.0,0.0,0.0,0.0,159
59,Muzaffarpurbandrarampurdayalwah,612,18360.0,2490.0,29.0,2490.0,153
